_id,geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
1,04000US01,Alabama,2009,17.535425,0.30325252,31.090656,8.163476,,,12.392697,2.7316003,30.752382,0.76545894,33.36879,2.562166,17.019602,0.32417035,,,11.638166,0.27267835,30.242229,1.1211909,29.714272,4.3493671,28.2992,2.2073669,27.345974,2.2368801,12.328322,0.27706954
2,04000US01,Alabama,2010,19.033548,0.29526177,28.110203,5.5817852,,,14.441349,2.7979891,32.369419,0.72998673,30.801027,2.1912894,18.564837,0.31931636,,,13.105281,0.33187446,31.270966,1.1335299,22.541122,3.0028448,25.635572,1.7821081,28.106331,2.2044871,13.837435,0.33325952
3,04000US01,Alabama,2011,19.040194,0.3086724,20.450745,3.0303791,,,12.381505,1.9537753,32.37006,0.73522049,32.826225,2.2397389,18.484295,0.3336302,,,12.933863,0.32379389,31.386408,1.138723,40.550137,4.9258451,33.925659,2.7523654,27.80401,2.4395361,13.511888,0.32630807
4,04000US01,Alabama,2012,18.96257,0.26139623,21.81389,3.8069725,,,15.039044,2.355124,31.618382,0.73985374,34.5369,2.1886036,18.341749,0.2857641,,,12.925039,0.26602441,31.207132,0.95606285,39.50481,5.4727688,34.295261,2.8751638,30.690405,2.9407012,13.66027,0.28497446
5,04000US01,Alabama,2013,18.730944,0.26749846,19.794239,3.313633,,,15.092446,2.6065252,31.123817,0.65762204,30.342075,2.7468269,18.254957,0.30042526,,,13.135613,0.27785179,29.88908,0.97250509,28.672665,4.5766482,26.004061,2.2089672,24.204458,2.0044425,13.788702,0.30500215
6,04000US01,Alabama,2014,19.252577,0.32801813,15.661044,2.4149313,,,12.140898,1.860708,31.128672,0.67009413,35.522633,2.3420811,18.576876,0.35532206,,,13.541161,0.30696312,30.526981,1.1475593,40.786156,4.2837539,33.747337,2.4256899,27.943546,2.5783055,14.181325,0.31377354
7,04000US01,Alabama,2015,18.495659,0.30693576,,,,,13.67435,2.057385,30.266619,0.72768575,31.953133,2.0148766,17.935938,0.33058825,,,13.004768,0.34637633,29.249201,1.1329119,35.40443,4.2974892,26.272907,2.1162045,20.584465,2.0325527,13.725909,0.35578275
8,04000US01,Alabama,2016,17.08869,0.30019006,17.129496,3.3885663,,,11.524822,1.345174,27.403692,0.69301498,30.116743,2.1492667,16.53002,0.32642779,,,12.15307,0.305105,26.691023,1.0643041,31.643244,3.4566283,27.1595,2.2533274,23.33699,2.9274197,12.753384,0.30568063
9,04000US01,Alabama,2017,16.88892,0.31841344,,,,,15.448308,2.7384567,27.30451,0.72807443,30.67005,2.1124585,16.292971,0.34462559,,,11.63203,0.28885606,27.007925,1.0839831,37.407597,3.8518708,30.213842,2.2079995,25.080486,2.5245843,12.242937,0.30216119
10,04000US02,Alaska,2009,9.0345716,0.48246881,18.892391,1.1679212,,,12.478745,2.8935165,,,13.927987,2.5084727,8.7125807,0.54009014,,,6.3230247,0.53906089,14.113164,1.7139574,,,,,10.08186,1.7639402,6.7949729,0.48672333
11,04000US02,Alaska,2010,9.9421377,0.53373027,21.807417,1.6547276,,,12.743404,2.9159844,,,8.5622377,1.8353337,10.025707,0.57680976,,,6.9626274,0.56600845,15.298722,1.8059647,,,,,12.502825,2.2050402,6.8180084,0.54762995
12,04000US02,Alaska,2011,10.455395,0.50208879,21.802305,1.075737,,,9.0799685,3.1495957,,,6.9076524,1.4902966,10.672114,0.5404712,,,7.3293591,0.5534333,15.960813,1.6942734,,,,,14.51395,2.6378112,7.2938175,0.53762627
13,04000US02,Alaska,2012,10.11727,0.44085449,22.403128,1.3386556,,,10.530668,2.4780257,,,11.785876,2.6743979,10.013345,0.4970634,,,6.4738178,0.46848381,16.373482,1.4422249,,,,,14.435225,1.9687809,6.592577,0.44166571
14,04000US02,Alaska,2013,9.3290405,0.40422776,24.958532,1.3419771,,,6.9633665,2.1720908,,,12.867013,2.5181043,9.085187,0.46567059,,,5.9293356,0.42661163,15.041883,1.2984458,,,,,9.3640785,1.1191834,6.1469975,0.45047328
15,04000US02,Alaska,2014,11.233721,0.57766795,22.106558,1.224205,,,17.006521,4.3000135,,,11.401959,2.5986011,11.221782,0.64557028,,,6.8343134,0.53550303,18.481129,1.7647048,,,,,13.390059,2.1730964,7.0197263,0.56345218
16,04000US02,Alaska,2015,10.340679,0.49207485,24.166456,1.258495,,,11.033406,3.043503,16.451572,3.7236822,9.2975788,2.2095077,10.417576,0.55287737,,,6.4963431,0.45795128,16.49585,1.4738468,,,,,11.13495,1.6264249,6.6212707,0.46526241
17,04000US02,Alaska,2016,9.8852434,0.54855871,25.013178,1.6537141,,,4.5644174,1.2185826,,,16.090315,2.635422,9.4340601,0.61891598,,,6.2995315,0.53310627,15.58976,1.6544687,,,,,11.813729,1.842006,6.7506471,0.62657201
18,04000US02,Alaska,2017,11.105497,0.61602288,23.753742,1.2884557,,,15.904548,5.993186,,,8.852191,1.8005412,11.273818,0.67554969,,,7.5950437,0.52889585,16.593554,1.7812107,,,,,10.710944,1.2431927,7.6414309,0.50742352
19,04000US04,Arizona,2009,16.522268,0.2694675,36.635063,1.8543816,,,13.298626,1.2650566,22.370928,1.7599242,26.241869,0.8011921,12.210997,0.52705389,,,9.8801699,0.26225901,25.440445,0.72209394,23.020084,1.471748,21.303707,1.1510012,17.475853,1.6969565,14.719841,0.31526798
20,04000US04,Arizona,2010,17.444664,0.3258872,36.911201,1.7647727,,,11.915405,1.5881764,25.118294,1.5285543,26.582569,0.72254884,13.590699,0.55473369,,,11.185757,0.29490751,26.089916,0.87596458,26.228384,1.7767048,23.651482,1.3483075,17.387203,1.4898878,15.479045,0.33187264
21,04000US04,Arizona,2011,18.993303,0.36542517,40.231174,1.7279538,,,12.522819,1.4789158,23.011421,2.0960655,29.625324,0.93423057,14.437418,0.65801632,,,11.921853,0.34039599,28.562387,0.97509992,31.250605,1.7654624,28.161617,1.3113544,21.788082,1.5636762,16.731119,0.36897576
22,04000US04,Arizona,2012,18.660444,0.24455182,38.533379,1.6750121,,,14.181837,1.4021192,26.159781,1.5134482,29.042917,0.60453236,14.20307,0.43551573,,,11.341615,0.25731257,28.433743,0.66593349,29.326815,1.3656546,27.109505,1.0537316,22.208548,1.46786,16.329487,0.24800266
23,04000US04,Arizona,2013,18.626286,0.30150875,38.567116,1.5093944,,,15.206939,1.2148898,22.948112,1.5727019,28.935671,0.68277621,14.176382,0.52279115,,,11.579535,0.2764006,27.911955,0.78753459,31.754251,1.7880496,27.706272,1.261447,19.816069,1.1896166,16.317194,0.33373475
24,04000US04,Arizona,2014,18.241194,0.24598227,38.125992,1.4969227,,,15.15806,1.1855438,25.368034,1.4681829,27.583864,0.68083346,14.148068,0.46292037,,,11.414428,0.2775017,27.065203,0.66789216,29.5425,1.6665151,25.863222,1.1967309,18.708111,1.2263224,15.949626,0.26980051
25,04000US04,Arizona,2015,17.372517,0.27166966,35.773964,1.5665376,,,13.280909,1.3209149,24.006826,1.3681453,26.290623,0.68293387,13.423168,0.49521312,,,11.036635,0.26180819,25.391314,0.69863743,27.961563,1.2518258,24.442974,0.96054542,16.712448,1.2186799,15.172593,0.28877208
26,04000US04,Arizona,2016,16.355751,0.24939212,33.289112,1.3190974,,,13.288185,1.2569886,22.092665,1.5212374,23.474817,0.59383053,13.179324,0.44766954,,,10.942518,0.24716358,23.118595,0.63995814,25.847679,1.2554133,23.927452,0.97997731,19.33621,1.4173216,13.978445,0.25226334
27,04000US04,Arizona,2017,14.8618,0.25192642,35.042702,1.5268472,,,11.402709,0.94490415,21.654943,1.6975694,19.980938,0.59969324,12.528478,0.45748633,,,10.08121,0.23234864,20.695498,0.62667161,21.071089,1.4202502,19.748842,0.9865545,17.621262,1.1521877,12.853953,0.25814581
28,04000US05,Arkansas,2009,18.794279,0.37515396,26.165474,4.9432178,,,16.221369,3.38625,36.434711,1.3893688,35.74073,2.594697,17.709518,0.43262732,,,13.685971,0.36267665,34.257614,1.8637292,36.471554,4.6497102,32.434124,2.8447208,27.734932,2.8303809,14.604062,0.38471031
29,04000US05,Arkansas,2010,18.835777,0.35523161,,,,,,,34.38467,1.2771577,31.869083,2.3912663,17.963867,0.41157469,,,14.371146,0.33595037,31.989361,1.7125068,33.669788,5.0243859,32.282593,3.1086876,30.529001,2.9829681,15.188024,0.37456542
30,04000US05,Arkansas,2011,19.458929,0.37447459,29.230209,5.1877661,,,13.144626,2.9485118,33.005936,1.470481,33.383308,3.0956933,18.488636,0.4551149,,,15.143333,0.37406355,32.044941,1.8265678,29.736059,4.6269088,30.705564,2.809123,31.789959,2.9608741,16.154369,0.38252628
31,04000US05,Arkansas,2012,19.82707,0.3554683,25.137192,4.2237148,,,10.105981,1.7333845,35.117702,1.1160116,31.741058,2.0094416,18.964775,0.40807593,,,15.544746,0.38816386,32.097786,1.7659913,32.168335,4.2248669,28.559128,2.4589422,24.94903,2.4759967,16.49889,0.36410436
32,04000US05,Arkansas,2013,19.67985,0.3471075,,,,,16.143148,2.7787554,35.010571,1.0905267,33.814003,2.1458681,18.629137,0.40580812,,,14.892938,0.35278046,33.164009,1.6532398,37.197269,4.8504796,34.186192,2.9056635,31.1133,3.1036656,15.869173,0.37030685
33,04000US05,Arkansas,2014,18.866083,0.32541433,15.688868,3.9933243,,,16.938362,3.3843708,33.164116,1.0885458,31.332817,1.8982502,17.927736,0.37808108,,,14.526257,0.38895547,30.967003,1.6406933,27.600107,2.5317271,27.505419,2.0394337,27.431473,3.0462713,15.660625,0.37703204
34,04000US05,Arkansas,2015,19.06629,0.36768267,20.037743,4.8348622,,,14.708861,2.3599358,33.857216,1.4006474,33.058277,2.216825,18.001429,0.4303889,,,14.501355,0.31788877,31.50913,1.6175352,33.540768,4.0542898,29.963585,2.4263208,26.322041,2.5881574,15.521866,0.32503846
35,04000US05,Arkansas,2016,17.222792,0.37153193,25.185833,3.7227936,,,14.568745,2.6794748,28.866434,1.2422223,26.689014,1.954339,16.482164,0.42885998,,,13.722019,0.38983059,26.701876,1.7341495,30.540264,3.6020403,27.641668,2.1903477,24.383101,2.2905681,14.137978,0.37156457
36,04000US05,Arkansas,2017,16.40303,0.35488397,25.651772,3.6970663,,,13.487116,2.7037737,27.575285,1.211769,23.178288,1.7347504,15.848168,0.40943873,,,13.308181,0.40117195,24.561941,1.6672995,27.559631,2.9357295,23.286272,1.8450031,18.594521,2.0573392,13.593963,0.41313195
